Company Name,Industry,Symbol,Series,ISIN Code,Tier
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,2
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,2
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,2
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,2
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,2
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,2
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,2
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,2
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,2
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,2
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,2
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,2
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,2
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,2
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034,2
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,2
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,2
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,2
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,2
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,2
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,2
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,2
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,2
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,2
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,2
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,2
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,2
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,2
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,2
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,2
JSW Holdings Ltd.,Financial Services,JSWHL,BE,INE824G01012,2
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,2
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,2
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,2
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,2
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,2
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,2
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018,2
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,2
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,2
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029,2
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,2
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,2
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024,2
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,2
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,2
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,2
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,2
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036,2
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,2
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,2
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,2
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,2
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,2
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,2
MMTC Ltd.,Services,MMTC,BE,INE123F01029,2
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,2
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025,2
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,2
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021,2
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,2
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,2
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,2
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,2
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,2
NCC Ltd.,Construction,NCC,EQ,INE868B01028,2
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,2
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,2
Nava Ltd.,Power,NAVA,EQ,INE725A01030,2
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,2
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,2
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013,2
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,2
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,2
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,2
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015,2
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,2
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,2
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,2
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,2
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029,2
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,2
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,2
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,2
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024,2
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,2
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,2
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,2
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,2
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,2
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,2
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,2
RITES Ltd.,Construction,RITES,EQ,INE320J01015,2
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,2
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,2
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,2
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,2
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,2
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019,2
Raymond Lifestyle Ltd.,Textiles,RAYMONDLSL,EQ,INE02ID01020,2
Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014,2
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,2
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,2
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,2
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,2
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,2
Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,2
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,2
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,2
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,2
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,2
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,2
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,2
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,2
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,2
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,2
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,2
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,2
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,2
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021,2
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,2
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,2
Swan Energy Ltd.,Chemicals,SWANENERGY,EQ,INE665A01038,2
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,2
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,2
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,2
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,2
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,2
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,2
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,2
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,2
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,2
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,2
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,2
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,2
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI,EQ,INE256C01024,2
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,2
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,2
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,2
